Component,individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,modelSystemName,officialName
IndividualAnimalMODEL-ADMetadataTemplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,11633,13438,NA,B-915-20,I-470/471,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11631,13436,NA,B-915-20,I-470/471,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11622,13427,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11621,13426,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11619,13424,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11611,13416,NA,B-913-20,I-464/465,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11626,13431,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11625,13430,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11617,13422,NA,B-913-20,I-464/465,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11616,13421,NA,B-913-20,I-464/465,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11615,13420,NA,B-913-20,I-464/465,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_carrier,C57BL6J,5XFAD,NA
NA,11447,13248,NA,B-876-20,I-433/434,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11428,13229,NA,B-875-20,I-431/432,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11425,13226,NA,B-875-20,I-431/432,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11424,13225,NA,B-875-20,I-431/432,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11445,13246,NA,B-876-20,I-433/434,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11490,13291,NA,B-881-20,I-445/446/447,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11448,13249,NA,B-876-20,I-433/434,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11440,13241,NA,B-875-20,I-431/432,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11439,13240,NA,B-875-20,I-431/432,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11438,13239,NA,B-875-20,I-431/432,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11453,13254,NA,B-876-20,I-433/434,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11451,13252,NA,B-876-20,I-433/434,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11454,13255,NA,B-877-20,I-437/438,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11456,13257,NA,B-877-20,I-437/438,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11464,13265,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11465,13266,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11469,13270,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11458,13259,NA,B-877-20,I-437/438,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11459,13260,NA,B-877-20,I-437/438,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11460,13261,NA,B-877-20,I-437/438,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
NA,11461,13262,NA,B-877-20,I-437/438,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,NA,NA
